word	ipa	russian_def	georgian_def
ათაქ(ი), თაქ(ი), აქ(ი)	atak(i), tak(i), ak(i)	1. здесь 2. сюда	აქ
ათაქინე см. ათაქ(ი).	atakine см. atak(i)	здесь, тут	აქ
ათაჸურე, თაჸურე, აჸურე	ata‘ure, ta‘ure, a‘ure	отсюда	აქედან
ათაშ – (ა)თაში	ataʃ – (a) taʃi	так, каким образом	ასე – ასე, ასე და ასე
ათაში, თაში, აში	ataʃi, taʃi, aʃi	так, таким образом	ასე
ათენა//ათე, თე, ე	ate, te, e	этот (начальная составная часть большого количества сложных	ეს (ბევრი რთული სიტყვის პირველი შემადგენელი слов) ნაწილი)
ათაშინეშე см. ათეშინეშე	ataʃineʃe см. ateʃineʃe	таким образом	ამგვარად, ამნაირად
ათეგვარი, თეგვარი, ეგვარი	ategvari, tegvari, egvari	такой	ამგვარი, ამნაირი
ათეზი/ჷმა, თეზი/ჷმა, ეზი/ჷმა	ate-zi/əma, tezi/əma, ezi/əma	столько	ამდენი
ათენე(ე)რო	atene(e)ro	таким образом, так	ამნაირად, ამგვარად
ათენერი, თენერი, ენერი	ateneri, teneri, eneri	такой	ამნაირი
ათენერო см. ათენე(ე)რო	atenero см. ate(e)nero	(	ა)თე-ჟამს//(ა)თე-ჟანს//ე-ჟანს [(a)te-ʒams//(a)te-ʒans//e-ʒans] (сен.), нареч. в это время ამ დროს
ათესხი, თესხი	atesxi, tesxi	столько	ამდენი
ათეშენი, თეშენი	ateʃeni, teʃeni	поэтому	ამისათვის
ათეშვანს, თეშვანს, ეშვანს	ateʃvans, teʃvans, eʃvans	в это время	ამ დროს
ათეში, თეში, ეში	ateʃi, teʃi, eʃi	его, её	ამისი
ათეშინეშე, თეშინეშე, ეშინეშე	ateʃineʃe, teʃineʃe, eʃineʃe	таким образом	ამნაირად, ამგვარად, იმგვარად
ათეცალი, ეცალი	atecali, ecali	подобный, похожий	ამნაირი, ამის მსგავსი, ასეთი
ათეჯგურა, თეჯგურა, ეჯგურა	ated͡ʒgura, ted͡ʒgura, ed͡ʒgura	такой	ასეთი, ამნაირი, ამგვარი
ათმაორებელი	atmaorebeli	оттеняющий, перен. угнетатель	დამჩრდილავი, გადატ. მჩაგვრელი
ა-თო-	a-to-		
ათოდვალა	atodvala	подложить, подкладывать	ამოდება
ათოლაფა	atolapa	подпадать, подпасть	ქვეშ მოქცევა; შევარდნა
ათომირაფა	atomirapa	замечать (с высоты), подмечать	შემჩნევა (სიმაღლიდან), თვალის მოკვრა
ათონწყილი	atont͡sq'ili	снизу подложенный, вложенный	ქვევიდან ამოწყობილი, შეწყობილი
ათონწყუალა	atont͡sq'ula	подкладывать (снизу), вкладывать	ქვევიდან ამოწყობა, შეწყობა
ათოპონუა	atop'onua	подпирать (снизу), прислонять	შეყუდება, ამოყუდება
ათორზამა	atorzama	поджигать (снизу), поджечь (под чем-либо)	შენთება, ქვევიდან შეგზნება
ათოჩამა	atot͡ʃama	1. выдать, выдача 2. давать совет, советовать	გაცემა 2. რჩევის მიცემა
ათოჩართუა	atot͡ʃartua	растаптывать; растаптывание	გათელვა
აია-ჟეშხა см. ჟეშხა	aia-ʒeʃxa см. ʒeʃxa		
აინჩა	aint͡ʃa	алыча (сорт сливы)	ალუჩა
აიწორო см. არიწორო	ait͡soro см. arit͡soro	сплошь, целиком	ერთიანად, მთლიანად
აკა ср. აკჷ	ak'a ср. ak'ə	1. «один» 2. ну-ка, давай-ка	ერთი 2. აბა ერთი, მოდი ერთი
აკაბუ(რ)ცხა см. აკაბუცხა	ak'abu(r)cxa см. ak'abucxa		
აკაბუცუცია	ak'abucucia	малюсенький	პაწაწინა, ერთი ბეწო
აკაკე-ბაკაკე	ak'ak'e-bak'ak'e	аллитерирующее словосочетание, не имеющее смысла	მნიშვნელობის არმქონე ალიტერაციული გამოთქმა
აკაბუცხა см. აკაბუ(რ)ცხა	ak'abucxa см. ak'abu(r)cxa	малюсенький	პაწაწა, პაწაწინა 18 ა
აკანი: ე აკანც	ak'ani: e ak'anc	место > в этом месте	ადგილი > ამ ადგილას
აკაშა(ხ)	ak'aʃa(x)	однажды, один раз	ერთხელ
აკაცია см. ლაკაცია	akacia см. lakacia	акация	აკაცია
აკაწილი	ak'at͡sili	немножко	ცოტა, ცოტაოდენი (ერთი წილი)
აკაწუნს	ak'at͡suns	в одно мгновение, вмиг; мгновенно	ერთ წამს, ერთ წამში
აკ(ი)მაჭაბალი	ak'(i)mat͡ʃ'abali	склейвающий	შემწებებელი
აკმა(რ)ღვაფალი	ak'marɣvapali	разрушитель	დამრღვევი
აკნახურგა	ak'naxurga	быть размежёванным	განამიჯნი, გამიჯნული
ა-კო-	a-k'o-	(	აკო)ბანძღილ/რი [(ak'o)band͡zɣil/ri] прич. взъерошенный (о волосах), запутанный აბურდული, აწეწილი (თმები), დახლართული (აკო)ბანძღუა [(ak'o)band͡zɣua] запутывать(ся) აბურდვა, აწეწ(ვ)ა
აკობუმა	ak'obuma	1.схватка, схватиться (в драке, бою) 2. вылить воду снизу вверх	შებმა (ბრძოლაში, ჩხუბში) 2. ამოსხმა (წყლის)
აკოგვარგვათუა	ak'ogvargvatua	толпиться, собираться вместе (о людях)	თავის მოყრა, მოგროვება (ხალხისა) (აკო)თეება [(ak'o)teeba] кончать, исполнить, выполнять დამთავრება, შესრულება
აკოკათელი	ak'ok'ateli	собравшиеся, столпившиеся	თავშეყრილი, შექუჩებული
აკოკათუა	ak'ok'atua	собираться	თავის მოყრა, შექუჩება
აკოკირილი//აკოკჷრილი	ak'ok'irili//ak'ok'ərili	связанный (крепко)	შეკრული (მაგრად)
აკოკირუა//აკოკჷრუა	ak'ok'irua//ak'ok'ərua	сковать, связывать (вместе)	შეკვრა; შებოჭვა
აკოკორობუა	ak'ok'orobua	собирать (воедино)	შეგროვება, შექუჩება
აკონდღულაფა	ak'ondɣulapa	1. подтаивать 2. сплавлять	შელღობა 2. დადნობა, შედნობა
აკონდღულაფირი	ak'ondɣulapiri	сплавленный	შედუღებული, შედნობილი
აკონთხაფა	ak'ontxapa	столкновение, конфронтация	შეჯახება, თავდასხმა; კონფრონტაცია
აკონწყვილი	ak'ont͡sq'vili	1. разрушенный 2. опустошенный, разоренный	დანგრეული, დარღვეული 2. გაოხრებული, გატიალებული
აკონწყუალა	ak'ont͡sq'uala	1. разрушать 2. опустошать	დანგრევა, დარღვევა 2. გაოხრება, გატიალება
აკონწყუმა // აკონწჷყმა	ak'ont͡sq'uma// ak'ont͡sq'əma	1. доносить, наушничать 2. сплетничать	მაბეზღარობა, ენატანიოაბა 2. ჭორიკნობა
აკონჭირუა	ak'ont͡ʃ'irua	напрячься; растягивать	ძალღონის დაძაბვა; დაჭიმვა
აკორაგადი//აკორაგადუა	ak'oragadi//ak'oragadua	1. сговариваться, договариваться 2. за глаза сплетничать	შეთანხმება, მოლაპარაკება, პირის შეკვრა; მორიგება 2. გაჭორვა; ზურგს უკან არაკეთილი სიტყვების მიყოლება
აკორზამა	ak'orzama	разжечь огонь	ცეცხლის დანთება, გაჩაღება
აკორთუალა	ak'ortuala	делить (между собой)	ურთიერთ შორის გაყოფა
აკორქიალა//აკორქილა	ak'orkiala//ak'orkila	размахивать, поскакать, пом-чаться (о лошади)	მოქნევა, გაქუსვლა (ცხენისა)
აკო(რ)ღვაფა	ako(r)ɣvapa	разложить, разрушить	დარღვევა, დაშლა
აკოსიროტუა	ak'osirot'ua	истреблять	ამოჟლეტა, ამოწყვეტა
აკოსოფუა	ak'osopua	разрывать (на части)	დაგლეჯა (ნაწილებად)
აკოსქუაფილი	ak'oskuapili	1. связанный 2. привязанный (сзади)	გადაბმული 2. მიბმული (უკან)
აკოტახუა	ak'ot'axua	1. взламывать, ломать 2. разлом, разгром	დამტვრევა, გატეხა 2. გაცამტვერება
აკოტკაჩილი	ak'ot'k'at͡ʃili	плотно прижатый друг другу (напр., губы, зубы)	მჭიდროდ მიკრული ერთმანეთთან (მაგ., ბაგეები, კბილები)
აკოტკაჩუა	ak'ot'k'at͡ʃua	плотно прижимать друг другу (напр., губы, зубы)	მჭიდროდ მიკვრა ერთმანეთთან (მაგ., ბაგეების, კბილების)
აკოფაჩუა	ak'opat͡ʃua	1. разобрать 2. распускать что-либо; распускаться	აკოფირსილი [ak'opirsili] прич. 1. замазанный смолой 2. перен. ослеплённый 1. დაშლა 2. დათხოვნა 1. გაგლესილი ფისით, დაგოზილი 2. გადატ. თვალებდავსებული, დაბრმავებული
აკოფირსუა	ak'opirsua	1. замазывать смолой; смолить 2. перен. ослепить	ფისით გაგლესა 2. გადატ. თვალის დავსება, დაბრმავება
აკოფიტილუა	ak'opit'ilua	увязаться (за кем-либо)	ადევნება, მიდევნება (ვინმეს უკან)
აკოფორილი	ak'oporili	покрытый, прикрытый	დაფარული
აკოფორუა	ak'oporua	укрыть, прикрывать	დაფარვა
აკოქერქუა	ak'okerkua	порвать, разодрать	დაფლეთა, დაგლეჯა
აკოქოსუა	ak'okosua	1. сгребать 2. перен. истреблять	მოხვეტა, მოქუჩება 2. გადატ. მოსპობა, მოსვრა 20 ა
აკოშაყარელი	ak'oʃaq'areli	собравшийся, собранный	შეგროვებული, თავმოყრილი
აკოშაყარუა	ak'oʃaq'arua	собирать(ся) (воедино)	შეკრება, შეგროვება, თავშეყრა
აკოშირუა//აკოშჷრუა	ak'oʃirua//ak'oʃərua	1. износиться 2. перен. истребляться	გაცვეთა 2. გადატ. მოსპობა, მოსვრა, გაჟლეტა
აკოშკა	ak'oʃk'a	окно	ფანჯარა
აკოციმა//აკოცუმა//აკოცჷმა	ak'ocima//ak'ocuma//ak'ocəma	1. рассыпаться, разводить 2. перен. портиться (о погоде)	დაფანტვა, დაშლა 2. გადატ. ფუჭდება (მაგ., ამინდი)
აკოციმილი//აკოცუმილი//აკოცჷმილი	ak'ocimili // ak'ocumili // ak'ocəmili	1. рассыпанный, разбросанный 2. перен. испорченный (о погоде)	დაფანტული, დაშლილი 2. გადატ. გაფუჭება (ამინდის), გაავდრება
აკოწიმიდუა	ak'ot͡simidua	вычистить	ამოწმენდა
ა/იკოჭოფუა	a/ik'ot͡ʃ'opua	вылавливать, схватить (вместе); связать туго	დაჭერა, შეპყრობა; შებოჭვა
აკოჭოფუა (შურიში)	ak'ot͡ʃ'opua (ʃuriʃi)	задохнуться (букв. сдерживать дух)	სულის ხუთვა (სიტყვასიტყვით სულის შებოჭვა)
აკოხირაკუა	ak'oxirak'ua	подгореть, поджариться	დახრუკვა, შეხრუკვა (ოდნავ)
აკოჯიმალაფა	ak'od͡ʒimalapa	побрататься	დაძმობილება
აკოჸუნა	ak'o‘una	следовать (сзади)	მიდევნება, მიყოლა (უკან)
აკოჸუნაფა (ბჟაში)	ak'o‘unapa (bʒaʃi)	свернуться (о молоке), створоживать	შედედება (რძის), შეყველება
ა-ლა-	a-la-		
ალაბი	alabi	аршин	ალაბი, არშინი
ალაბიანი	alabiani	аршинный (напр., камень)	არშინიანი (მაგ., ქვა)
ალაგაფა	alagapa	вкладывать (в ножны); ударить ножом	ჩაგება; ჩარტყმა (დანის)
ალაგაფირი	alagapiri	вложенный (в ножны); воткнутый (нож)	ჩაგებული; ჩარტყმული (დანა)
ალაგე см. ოლაგე	alage см. olage	букв. место, где обычно перешагивают	ალაგე
ალადვალა	aladvala	положить (во что-то), класть (во что-либо)	ჩადება (რამეში)
ალაზიმაფა//ალაზჷმაფა	alazimapa//alazəmapa	сравнивать, сопоставлять(ся)	შედარება, შეზომება, დატოლება
ალალაფა см. ილალაფა	alalapa см. ilalapa	1. попадать (в глаз, карман) 2. падать рядом (чего-либо)	ჩავარდნა (თვალში, ჯიბეში) 2. ჩავარდნა (გვერდით)
ალალი	alali	искренний, правдивый	ალალი
ალა-მალა//ალას-მალას	ala-mala//alas-malas	аллитерирующее словосочетание – используеться для рифмы > туда-сюда; непостоянное, нехорошее; часто (И. Кипш.)	ალიტერაციული, მარითმებელი სიტყვათ – შეხამება > იქით-აქეთ; არამუდმივი, უვარგისი (ი. ყიფშ.)
ალამო//ჰალამო	alamo//halamo	вдруг, внезапно	უცბად
ალანგერი см. ონა(ნ)გერი	alangeri см. ona(n)geri		
ალანი: ალანი-კოჩი	alani: alani k'ot͡ʃi	аланами мегрелы называют карачаевских татар (карачаевцев), живущих на северном склоне главного Кавказского хребта, близ Эльбруса, у истоков р. Кубань; перен. мужественый (И. Кипш.)	ალანი; ალანი-კაცი. ალანებს მეგრელები ეძახიან ყარაჩაელებს, რომლებიც ცხოვრობენ კავკასიონის ქედის ჩრდილოეთ ფერდობზე, იალბუზის ახლოს, მდინარე ყუბანის ნაპირებზე; გადატ. ვაჟკაცი (ი. ყიფშ.)
ალანურობა-მალანურობა	alanuroba-malanuroba	название одного вида состязания в силе и ловкости двух партии нарочно выбранных молодых, холостых людей (И. Кипш.)	ძალასა და სიმკვირცხლეში შეჯიბრის ერთ-ერთი სახეობა ორი ახალგაზრდა, უცოლშვილო ჯგუფისა (ი. ყიფშ.)
ალა(ნ)ჭირინაფა	ala(n)t͡ʃ'irinapa	передавать (сбоку)	გვერდიდან მიწოდება
ალა(ნ)ჯირა	ala(n)d͡ʒira	лежать (сбоку, рядом кого-либо), прилечь	წამოწოლა, გვერდით წოლა
ალარგინუა	alarginua	блестеть, сверкать; сверкание (напр., о глазах)	ბრდღვიალი, ბრწყინვა (მაგ., თვალის)
ალარინა см. ილარინა	alarina см. ilarina	1. поддерживать 2. находиться, стоять (около чего-либо или	მხარდაჭერა 2. გვერდით (ან გარეთ) დგომა, ყოფნა снаружи)
ალასხაპუა	alasxap'ua	1. подтанцовывать, плясать рядом с кем-нибудь 2. припрыгивать (рядом)	ცეკვით გვერდზე გაყოლა; მიცეკვება 2. გვერდზე გადახტომა
ალატახუა	alat'axua	надломать (сбоку)	ჩამოტეხა, ჩამომტვრევა (გვერდიდან)
ალაფურცქინი//ალაფურცქინუა	alapurckini//alapurckinua	пошептать (в ухо)	ჩაჩურჩულება (ყურში)
ალაღალა	alaɣala	вынимать	ამოღება
ალაჩანაფა	alat͡ʃanapa	засунуть; запустить (напр., руку)	გაჩრა; ჩაყოფა (მაგ., ხელის)
ალაჩანუა	alat͡ʃanua	расти (возле чего-либо), прижиться (растение)	გვერდით ზრდა, გახარება (მცენარეულისა)
ალაძვენა	alad͡zvena	лежать, валяться (рядом)	დება, გდება (გვერდით)
ალაწონუა	alat͡sonua	соразмерять, сравнивать, сопоставлять	თანაშეზომვა, შეტოლება, შეთანასწორება, გათანაბრება, შედარება
ალაჭვირი	alat͡ʃ'viri	подгоревший с боку (слегка)	გვერდიდან დამწვარი (ოდნავ)
ალაჭკადუა	alat͡ʃ'kadua	прибивать (сбоку)	მიჭედება (გვერდით, გვერდიდან)
ალაჭუალა	alat͡ʃ'uali	прижигать, прижечь (сбоку)	დაწვა (გვერდიდან), მიწვა
ალახუნა	alaxuna	1. сидеть снаружи 2. посадить (сбоку), сидеть (рядом с кем-либо)	გარეთ ჯდომა 2. გვერდით ჯდომა
ალაჯინა	alad͡ʒina	смотреть (сбоку вверх)	გვერდიდან ახედვა
ალაჸუნა	ala‘una	следовать (рядом), идти (рядом)	გვერდით გაყოლა, გვერდით სვლა (სიარული) 22 ა
ალბათ	albat	наверное, должно быть	ალბათ
ალება	aleba	согласие	თანხმობა, ყაბული
ალებური	aleburi	благословение, благословенный	დალოცვა, დალოცვილი
ალენი см. ალიონი	aleni см. alioni	заря, рассвет	ალიონი, განთიადი
ალერტობა	alert'oba	алаверды (религиозный праздник)	ალავერდობა
ალი	ali	1. пурпурный, красный 2. пламя; зарево	მეწამული (ფერი), წითელი 2. ალი; დაფიონი
ალიანი (დო) ჩალიანი	aliani (do) t͡ʃaliani	дурное, скверное	ავი, გლახა, ცუდი
ალი-დაჩხირი	ali-dat͡ʃxiri	огонь с пламенем	ალიანი ცეცხლი
ალიონი см. ალენი	alioni см. aleni		
ალიშქარი//ალიჩქარი	aliʃkari//alit͡ʃkari	пламя огня	ცეცხლის ალი
ალმარე/ინჯი	almare/ind͡ʒi	стоящий сбоку; перен. поддерживающий	გვერდით მდგომი; გადატ. მხარდამჭერი
ალმასი	almasi	алмаз	ალმასი
ალმაჸვენჯი	alma‘vend͡ʒi	1. советник, советчик; сторонник 2. идущий рядом	მრჩეველი, მომხრე 2. გვერდით მიმყოლი
ალონი//ალენი//ალჷნი	aloni//aleni//aləni	заря	ალიონი, განთიადი
ალულა//ილულა	alula//ilula	1. подниматься, подняться наверх 2. восход (о солнце, луне)	ამოსვლა 2. ამოსვლა (მზის, მთვარის)
ალულირი	aluliri	1. взошедший 2. перен. приехавший	ამოსული 2. გადატ. ჩამოსული
ალუჩა	alut͡ʃa	алыча	ალუჩა
ალუჩაშ-ბუში	alut͡ʃaʃ-buʃi	сорт алычи	ალუჩის ერთ-ერთი სახეობა
ამარი, ამარი-ამარი	amari, amari-amari	здесь, тут, вот-вот, с минуты на минуту	აგერ, აგერ აქ, აგერ-აგერ, წუთი წუთზე
ამარ(ი)-ემერი	amar(i)-emeri	там и сям	აქა-იქ
ამარი-ემერიანი	amari-emeriani	здешний-тамошний	აქაური-იქაური
ამაღლება	amaɣleba	вознесение	ამაღლება
ამბე(ე)	ambe(e)	весть, история, известие	ცნობა, ისტორია, ამბავი
ამიორიშე	amioriʃe	впредь, отныне	ამიერიდან
ამნახანტა//ამნახანტჷ	amnaxant'a//amnaxant'ə	изображение, портрет	გამოსახულება, სურათი, ამონახატი
ამნიჯი	amnid͡ʒi	этим вечером	ამ საღამოს
ამო//ჰამო	amo//hamo	приятный, сладкий	სასიამოვნო, ტკბილი
ამპ(ო)ური//ამპური	amp'(o)uri//amp'uri	ремень, ремешок; бечёвка, которой подвешивают шкворени под	თასმა, აპეური шеей вола, буйвола
ამპური см. ამპ(ო)ური	amp'uri см. amp'(o)uri		
ამ(უ)დღა//ამ(t͡s)დღა	am(u)dɣa//am(ə)dɣa	сегодня	დღეს
ამ(უ)დღარი//ამ(t͡s)დღარი	am(u)dɣari//am(ə)dɣari	сегодняшний	დღევანდელი
ამუნათი	amunati	прекрасный	ლამაზი, საუკეთესო
ამ(უ)სერი//ამჷსერი	amuseri//aməseri	в эту ночь, этой ночью	ამაღამ
ამუჭუანი//ამჷჭუანი	amut͡ʃ'uani//amət͡ʃ'uani	сегодня утром	ამ დილას
ამშვი	amʃvi	шесть	ექვსი
ამშოში (ამშვი-ოში)	amʃoʃi	шестьсот	ექვსასი
ამჩვაშა	amt͡ʃvaʃa	рябина	ცირცელი
ამხარა1	amxara	овчарня (для коз)	თხების დასამწყვდევი
ამხარა2	amxara	1. хлев 2. хижина, навес для новобрачных -	ანა [-ana] словообразовательный суффикс абстрактных имен (напр., კოჩ- ანა – человечность) კოჩ-ანა)
ანაგება	anageba	фигура, образ, стан	სახე, ტანი, აგებულება
ანა(ნ)გერი//ონა(ნ)გერი//უნაგერი	ana(n)geri//ona(n)geri//unageri	седло	უნაგირი
ანბე//ამბე(ე)	anbe//ambe(e)	весть, известие	ამბავი
ანგარია: ანგარიაშე	angaria: angariaʃe	вид, наружность > по виду, по величине	გომური 2. ფარდული ახალდაქორწინებულთათვის აბსტრაქტულ სახელთა მაწარმოებელი სუფიქსი (მაგ., გარეგნულობა, სახე, ფორმა > გარეგნულობით, სიდიდით
ანგარიში	angariʃi	счет, рассчет	ანგარიში
ანგელოზი//ანგილოზი	angelozi//angilozi	ангел	ანგელოზი
ანგი	angi	подлинник, оригинал; подходящий	ანგილოზი//ანგელოზი [angilozi//angelozi]
ანგურა см. კიცი	angura см. k'ici	1. кирпич 2. большая каменная сковородка для выпечки хлеба	ასლი, დედანი; შესაფერისი 1. აგური 2. ქვის დიდი კეცი, მჭადის (პურის) გამოსაცხობი 24 ა
ა(ნ)დამატი	a(n)damat'i	алмаз	ალმასი
ანდამური//ადამიანური	andamuri//adamianuri	человеческий, нормальный	ადამიანური, ნორმალური
ანდაღებული	andaɣebuli	совершенно ничего, никого	სულდგმული, სრულებით არავინ (არაფერი)
ანდოგანი	andogani	окрестность	არემარე, კიდეგანი
ანთარი ჟინი	antari ʒini	Антар верхний т.е. небесный, главный бог скотоводства в древней колхоской мифологии	ზემო ე.ი. ზეციური ანთარი, მეცხოველეობის მთავარი ღმერთი კოლხურ მითოსში
ა(ნ)თასი	a(n)tasi	тысяча	ათასი
ანკარა	ank'ara	1.чистый, ясный 2. зоол. уж	სუფთა, კამკამა 2. გველხოკერა, ანკარა
ანკესი см. ან(ტ)კეცი	ank'esi см. an(t')k'eci	удочка	ანკესი
ანპური см. ამპ(ო)ური	anp'uri см. amp'(o)uri		
ან(ტ)კეცი см. ანკესი	an(t')k'eci см. ank'esi		
ა-ნო-	a-no-		
ა(ნ)ტლასი//ატლასი	a(n)t'lasi//at'lasi	атлас	ატლასი
ანფერ!	anper	браво! молодец!	აფერუმ! ყოჩაღ!
ანწალა см. ანწოლა	ant͡sala см. ant͡sola		
ა(ნ)წი//აწი//აწ//აწჷნე	a(n)t͡si//at͡si//at͡s//at͡səne	ныне, теперь; после этого, в будущем	ახლა; აწი, ამის შემდეგ, ამიერიდან მომავალში
ა(ნ)წიანი	a(n)t͡siani	будущий	აწინდელი, მომავალი
ანწიანიშო	a(n)t͡sianiʃo	на будущее время; отныне	მომავლისათვის, ამას იქით
ანწოლა см. ანწალა	ant͡sola см. ant͡sala	стожок соломы, солома, подвешенная на дереве	ანწალა, ხეზე ჩამოკიდებული ჩალა
ანჭა	ant͡ʃ'a	клён красивый	ქორაფი
ანჯარი	and͡ʒari	оружие вообще; секира	იარაღი (საერთოდ)
ანჯი	and͡ʒi	слоновая кость	ჰაჯი, სპილოს ძვალი
აპრილი//აპრიი	ap'rili//ap'rii	апрель	აპრილი
აპურტაკი//აპუტრაკი	ap'urt'ak'i//ap'ut'rak'i	чемерица	შხამა
არაბა	araba	арба	ურემი
არაბი	arabi	араб	არაბი
არაბული	arabuli	арабский	არაბული
არამი см. ჰარამი	arami см. harami		
არგამათ	argamat	явно	აშკარად
არგამათი	argamati	вольно, по своей воле	თავისი ნებით
არგამას см. არგამათ	argamas см. argamat		
არგვათა см. აგვართა	argvata см. agvarta	1. толпа 2. хижина	ბრბო, თავყრილობა 2. ქოხი
არგვათათ	argvatat	толпою	ბრბოთი
არგუნი см. კვაღა	arguni см. k'vaɣa	(большой) топор	ნაჯახი
არგუსო	arguso	август	აგვისტო
არდგი(ლ)ი см. აბანი, აკანი	ard(g)ili см. abani, ak'ani	место	ადგილი (ა)რდება (დუდიშ) [(a)rdeba (dudiʃ)] дерзить, не считаться თავის აგდება
არეშუმი см. ა(ბ)რეშუმი	areʃumi см. a(b)reʃumi		
არვანი см. ქვი(ნ)ჯე	arvani см. kvi(n)d͡ʒe	ступка (деревянная)	როდინი, ქვიჯა
არზი//აზრი	arzi//azri		
ართ-ართი см. ართი-დო-ართი	art-arti см. arti-do-arti	один из	ერთ-ერთი (ერთი და ერთი)
არ(თ)ი	ar(t)i	1. один 2. ну-ка, давай!	ერთი 2. აბა, არიქა!
ართიალამო	artialamo	сразу	ერთბაშად
ართიანი	artiani	друг друга	ერთმანეთი
ართიანიში	artianiʃi	друг другу	ერთმანეთის
ართიანს	artians	друг друга	ერთმანეთს
ართიანო	artiano	вместе, все вместе	ერთიანად
ართ(ი)გური	art(i)guri	преданный	ერთგული
ართი-დო-ართი см. ართ-ართი	arti-do-arti см. art-arti		
ართ(ი)კუჩხამი	art(i)k'ut͡ʃxami	одноногий	ერთფეხა, ერთფეხიანი, ცალფეხა
ართიმანგი	artimangi	1. похожие (друг на друга) 2. одинаковый	ერთმანეთის მსგავსი, თანაბარი 2. ერთნაირი
ართიმანგო	artimango	одинаково, равно	ერთნაირად, თანასწორად 26 ა
ართინერი	artineri	однообразный, одинаковый	ერთნაირი
ართინერო	artinero	одинаково, поровну	თანაბრად, ერთნაირად
ართიშა(ხ)	artiʃa(x)	однажды, один раз	ერთხელ
ართ(ი) -შვანს	art(i) -ʃvans	однажды	ერთხელ, ერთ დროს
ართნერი см. ართინერი	artneri см. artineri		
ართო	arto	вместе	ერთად
არიკი	arik'i	сказка	ზღაპარი
არ(ი)წორო//აიწორო	ar(i)t͡soro//ait͡soro	целиком, сплошь	ერთიანად, ერთბაშად, მთლიანად
არკეცი//ანკეცი	ark'eci//ank'eci	удочка	ანკესი
არკვანი	ark'vani	люлька детская, колыбель	აკვანი
არტკეცი см. ან(ტ)კეცი	art'k'eci см. an(t')k'eci		
არქაფა см. მარქაფა	arkapa см. markapa	оседланная запасная лошадь	მარქაფა
არქემი	arkemi	верблюд	აქლემი
არქვანი см. ერქვანი	arkvani см. erkvani	ручка сохи, плуга	კავის, გუთნის სახელური
არღანი	arɣani	шарманка	არღანი
არღია//ა(რ)ღია(რ)ღი	arɣia//a(r)ɣia(r)ɣi	белка	თრითინა, სინდიოფალა
ა(რ)ღი-ა(რ)ღი, აღიაღი	a(r)ɣi-a(r)ɣi см. aɣiaɣi	соня полчёк (животное); белка	თრითინა; ციყვი
